miRNA,SRR8839813,SRR8839814,SRR8839815,SRR8839816
hsa-let-7a-3p,61.0,0.0,0.0,4.0
hsa-let-7a-5p,92911.0,48.0,1548.0,1190.0
hsa-let-7b-3p,33.0,0.0,2.0,0.0
hsa-let-7b-5p,14517.0,19.0,271.0,1783.0
hsa-let-7c-3p,12.0,0.0,0.0,0.0
hsa-let-7c-5p,11100.0,38.0,282.0,165.0
hsa-let-7d-3p,370.0,1.0,25.0,40.0
hsa-let-7d-5p,1386.0,5.0,24.0,108.0
hsa-let-7e-3p,29.0,0.0,0.0,0.0
hsa-let-7e-5p,2486.0,4.0,21.0,90.0
hsa-let-7f-1-3p,13.0,0.0,0.0,20.0
hsa-let-7f-2-3p,1.0,0.0,0.0,0.0
hsa-let-7f-5p,104440.0,112.0,2606.0,2387.0
hsa-let-7g-5p,33068.0,60.0,862.0,1361.0
hsa-let-7i-3p,1.0,0.0,0.0,0.0
hsa-let-7i-5p,10659.0,148.0,753.0,3065.0
hsa-miR-1-3p,217.0,0.0,51.0,384.0
hsa-miR-100-5p,19160.0,74.0,467.0,1468.0
hsa-miR-101-2-5p,2.0,0.0,0.0,0.0
hsa-miR-101-3p,6316.0,17.0,170.0,209.0
hsa-miR-101-5p,1.0,0.0,0.0,0.0
hsa-miR-10394-3p,1.0,0.0,0.0,6.0
hsa-miR-10395-3p,1.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,5.0
hsa-miR-10399-3p,17.0,0.0,0.0,0.0
hsa-miR-10399-5p,1.0,0.0,1.0,0.0
hsa-miR-103a-1-5p,1.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,8.0,0.0,0.0,0.0
hsa-miR-103a-3p,6030.0,31.0,241.0,452.0
hsa-miR-10400-5p,0.0,0.0,0.0,1.0
hsa-miR-10401-3p,4.0,0.0,0.0,6.0
hsa-miR-10401-5p,0.0,0.0,1.0,0.0
hsa-miR-105-5p,2.0,0.0,0.0,12.0
hsa-miR-106a-3p,4.0,0.0,0.0,0.0
hsa-miR-106a-5p,207.0,0.0,4.0,0.0
hsa-miR-106b-3p,452.0,4.0,24.0,60.0
hsa-miR-106b-5p,129.0,1.0,1.0,3.0
hsa-miR-107,179.0,0.0,2.0,22.0
hsa-miR-10a-3p,214.0,0.0,7.0,0.0
hsa-miR-10a-5p,107521.0,25.0,10242.0,1011.0
hsa-miR-10b-3p,243.0,0.0,9.0,6.0
hsa-miR-10b-5p,247513.0,52.0,17176.0,3784.0
hsa-miR-11400,1.0,0.0,0.0,0.0
hsa-miR-11401,1.0,0.0,0.0,0.0
hsa-miR-1180-3p,94.0,1.0,2.0,51.0
hsa-miR-12129,0.0,0.0,0.0,14.0
hsa-miR-12136,45.0,0.0,3.0,0.0
hsa-miR-122-5p,89.0,111.0,4.0,537.0
hsa-miR-1226-3p,1.0,0.0,0.0,0.0
hsa-miR-1226-5p,1.0,0.0,0.0,0.0
hsa-miR-1229-3p,2.0,0.0,0.0,0.0
hsa-miR-1229-5p,1.0,0.0,0.0,1.0
hsa-miR-122b-5p,2.0,0.0,0.0,0.0
hsa-miR-124-3p,7.0,0.0,4.0,0.0
hsa-miR-124-5p,3.0,1.0,2.0,0.0
hsa-miR-1245b-3p,1.0,0.0,0.0,0.0
hsa-miR-1246,178.0,23.0,449.0,28.0
hsa-miR-1248,0.0,0.0,0.0,7.0
hsa-miR-1249-3p,4.0,0.0,0.0,0.0
hsa-miR-1250-5p,1.0,0.0,0.0,0.0
hsa-miR-1251-5p,9.0,0.0,0.0,0.0
hsa-miR-1255a,5.0,0.0,0.0,0.0
hsa-miR-125a-3p,48.0,0.0,1.0,0.0
hsa-miR-125a-5p,1848.0,13.0,705.0,125.0
hsa-miR-125b-1-3p,17.0,1.0,0.0,36.0
hsa-miR-125b-2-3p,16.0,0.0,1.0,0.0
hsa-miR-125b-5p,2417.0,45.0,118.0,121.0
hsa-miR-126-3p,236.0,186.0,191.0,332.0
hsa-miR-126-5p,7.0,6.0,5.0,11.0
hsa-miR-1260b,36.0,0.0,0.0,0.0
hsa-miR-1262,2.0,0.0,4.0,0.0
hsa-miR-1263,1.0,0.0,0.0,0.0
hsa-miR-1266-5p,1.0,0.0,0.0,0.0
hsa-miR-1268a,20.0,0.0,0.0,0.0
hsa-miR-1268b,1.0,0.0,5.0,1.0
hsa-miR-1269a,10.0,0.0,0.0,0.0
hsa-miR-1269b,13.0,0.0,1.0,0.0
hsa-miR-127-3p,31.0,19.0,15.0,84.0
hsa-miR-127-5p,1.0,0.0,1.0,0.0
hsa-miR-1270,4.0,0.0,0.0,0.0
hsa-miR-1271-5p,14.0,0.0,0.0,0.0
hsa-miR-1273h-5p,2.0,0.0,2.0,59.0
hsa-miR-1275,6.0,0.0,0.0,0.0
hsa-miR-128-1-5p,2.0,0.0,0.0,0.0
hsa-miR-128-2-5p,1.0,0.0,0.0,0.0
hsa-miR-128-3p,572.0,43.0,142.0,355.0
hsa-miR-1283,1.0,0.0,0.0,0.0
hsa-miR-1284,1.0,0.0,0.0,0.0
hsa-miR-1285-3p,1.0,0.0,0.0,0.0
hsa-miR-1285-5p,9.0,0.0,5.0,128.0
hsa-miR-1287-5p,9.0,0.0,0.0,0.0
hsa-miR-1288-3p,1.0,0.0,0.0,0.0
hsa-miR-129-1-3p,10.0,0.0,0.0,0.0
hsa-miR-129-2-3p,0.0,2.0,2.0,0.0
hsa-miR-129-5p,44.0,7.0,13.0,27.0
hsa-miR-1290,0.0,0.0,1.0,0.0
hsa-miR-1291,2.0,0.0,0.0,8.0
hsa-miR-1292-5p,2.0,0.0,0.0,0.0
hsa-miR-1294,1.0,0.0,0.0,0.0
hsa-miR-1296-3p,1.0,0.0,0.0,0.0
hsa-miR-1296-5p,31.0,0.0,0.0,0.0
hsa-miR-1298-5p,2.0,1.0,1.0,0.0
hsa-miR-1299,181.0,0.0,0.0,7.0
hsa-miR-1301-3p,21.0,0.0,2.0,12.0
hsa-miR-1303,22.0,0.0,2.0,3.0
hsa-miR-1304-3p,0.0,0.0,0.0,5.0
hsa-miR-1306-3p,2.0,0.0,0.0,0.0
hsa-miR-1306-5p,7.0,0.0,0.0,0.0
hsa-miR-1307-3p,491.0,4.0,66.0,288.0
hsa-miR-1307-5p,23.0,0.0,1.0,0.0
hsa-miR-130a-3p,24.0,0.0,0.0,0.0
hsa-miR-130b-3p,1.0,1.0,0.0,0.0
hsa-miR-130b-5p,9.0,2.0,1.0,19.0
hsa-miR-132-3p,25.0,1.0,3.0,5.0
hsa-miR-132-5p,9.0,0.0,0.0,18.0
hsa-miR-133a-3p,53.0,0.0,1.0,5.0
hsa-miR-133b,4.0,0.0,0.0,0.0
hsa-miR-134-5p,5.0,0.0,1.0,17.0
hsa-miR-135a-2-3p,421.0,1.0,3.0,0.0
hsa-miR-135a-5p,445.0,1.0,4.0,0.0
hsa-miR-135b-3p,2.0,0.0,0.0,0.0
hsa-miR-135b-5p,99.0,0.0,7.0,0.0
hsa-miR-136-3p,5.0,3.0,1.0,0.0
hsa-miR-136-5p,2.0,0.0,0.0,0.0
hsa-miR-137-3p,1.0,1.0,0.0,0.0
hsa-miR-138-5p,5.0,0.0,0.0,0.0
hsa-miR-139-3p,0.0,0.0,1.0,0.0
hsa-miR-139-5p,10.0,0.0,2.0,1.0
hsa-miR-140-3p,3032.0,5.0,87.0,145.0
hsa-miR-140-5p,110.0,0.0,3.0,12.0
hsa-miR-141-3p,413.0,0.0,11.0,7.0
hsa-miR-141-5p,38.0,0.0,0.0,0.0
hsa-miR-142-3p,2.0,1.0,4.0,76.0
hsa-miR-142-5p,16.0,1.0,0.0,123.0
hsa-miR-143-3p,34.0,2.0,13.0,594.0
hsa-miR-144-3p,1.0,0.0,1.0,8.0
hsa-miR-144-5p,1.0,0.0,0.0,7.0
hsa-miR-145-5p,0.0,0.0,0.0,5.0
hsa-miR-1468-5p,14.0,0.0,1.0,0.0
hsa-miR-146a-3p,3.0,0.0,0.0,0.0
hsa-miR-146a-5p,638.0,11.0,35.0,1896.0
hsa-miR-146b-3p,42.0,0.0,0.0,0.0
hsa-miR-146b-5p,4334.0,3.0,66.0,207.0
hsa-miR-147b-3p,4.0,0.0,0.0,0.0
hsa-miR-148a-3p,228913.0,98.0,9519.0,5644.0
hsa-miR-148a-5p,337.0,0.0,8.0,7.0
hsa-miR-148b-3p,1351.0,5.0,43.0,126.0
hsa-miR-148b-5p,30.0,0.0,1.0,0.0
hsa-miR-149-3p,2.0,0.0,0.0,0.0
hsa-miR-149-5p,242.0,0.0,3.0,14.0
hsa-miR-150-5p,3.0,0.0,0.0,12.0
hsa-miR-151a-3p,17457.0,32.0,914.0,1137.0
hsa-miR-151a-5p,199.0,0.0,0.0,3.0
hsa-miR-151b,12.0,0.0,1.0,0.0
hsa-miR-152-3p,1227.0,1.0,58.0,46.0
hsa-miR-152-5p,3.0,0.0,0.0,0.0
hsa-miR-154-3p,2.0,0.0,0.0,0.0
hsa-miR-155-5p,146.0,5.0,3.0,150.0
hsa-miR-15a-5p,4.0,1.0,0.0,0.0
hsa-miR-15b-3p,6.0,0.0,0.0,19.0
hsa-miR-15b-5p,311.0,0.0,0.0,6.0
hsa-miR-16-1-3p,1.0,0.0,0.0,0.0
hsa-miR-16-2-3p,44.0,0.0,6.0,1.0
hsa-miR-16-5p,453.0,2.0,7.0,65.0
hsa-miR-17-3p,2.0,0.0,0.0,0.0
hsa-miR-17-5p,393.0,5.0,6.0,127.0
hsa-miR-181a-2-3p,248.0,0.0,14.0,0.0
hsa-miR-181a-3p,73.0,0.0,2.0,1.0
hsa-miR-181a-5p,917.0,13.0,34.0,169.0
hsa-miR-181b-2-3p,1.0,0.0,0.0,0.0
hsa-miR-181b-3p,3.0,0.0,0.0,15.0
hsa-miR-181b-5p,219.0,5.0,6.0,78.0
hsa-miR-181c-3p,8.0,2.0,0.0,0.0
hsa-miR-181c-5p,5.0,1.0,1.0,0.0
hsa-miR-181d-5p,25.0,5.0,9.0,1.0
hsa-miR-182-3p,0.0,0.0,2.0,1.0
hsa-miR-182-5p,2783.0,1.0,196.0,353.0
hsa-miR-1827,0.0,0.0,0.0,2.0
hsa-miR-183-3p,1.0,0.0,0.0,0.0
hsa-miR-183-5p,1248.0,1.0,90.0,312.0
hsa-miR-184,111.0,0.0,110.0,398.0
hsa-miR-1843,54.0,0.0,1.0,1.0
hsa-miR-185-3p,15.0,0.0,2.0,0.0
hsa-miR-185-5p,434.0,7.0,23.0,70.0
hsa-miR-186-5p,1140.0,1.0,24.0,57.0
hsa-miR-187-3p,63.0,0.0,0.0,0.0
hsa-miR-187-5p,1.0,0.0,0.0,0.0
hsa-miR-188-5p,8.0,0.0,0.0,0.0
hsa-miR-18a-3p,0.0,0.0,0.0,6.0
hsa-miR-18a-5p,8.0,0.0,0.0,0.0
hsa-miR-1908-5p,1.0,1.0,0.0,0.0
hsa-miR-190a-5p,7.0,0.0,0.0,0.0
hsa-miR-190b-5p,3.0,0.0,0.0,0.0
hsa-miR-191-3p,4.0,0.0,0.0,0.0
hsa-miR-191-5p,5623.0,9.0,121.0,266.0
hsa-miR-1910-5p,1.0,0.0,0.0,0.0
hsa-miR-192-3p,5.0,0.0,0.0,0.0
hsa-miR-192-5p,31197.0,3.0,426.0,361.0
hsa-miR-193a-3p,1.0,0.0,0.0,0.0
hsa-miR-193a-5p,94.0,2.0,24.0,22.0
hsa-miR-193b-3p,99.0,0.0,1.0,0.0
hsa-miR-193b-5p,22.0,0.0,0.0,33.0
hsa-miR-194-3p,49.0,0.0,0.0,0.0
hsa-miR-194-5p,5574.0,3.0,57.0,52.0
hsa-miR-195-3p,24.0,0.0,0.0,0.0
hsa-miR-195-5p,26.0,0.0,0.0,16.0
hsa-miR-196a-5p,509.0,0.0,2.0,3.0
hsa-miR-196b-3p,2.0,0.0,0.0,14.0
hsa-miR-196b-5p,178.0,2.0,0.0,0.0
hsa-miR-197-3p,346.0,1.0,0.0,44.0
hsa-miR-1976,11.0,0.0,3.0,0.0
hsa-miR-199a-3p,1.0,1.0,1.0,52.0
hsa-miR-199a-5p,4.0,1.0,0.0,38.0
hsa-miR-199b-3p,36.0,1.0,1.0,199.0
hsa-miR-199b-5p,22.0,0.0,0.0,0.0
hsa-miR-19a-3p,1.0,0.0,1.0,0.0
hsa-miR-19b-3p,76.0,1.0,0.0,44.0
hsa-miR-200a-3p,14141.0,1.0,540.0,104.0
hsa-miR-200a-5p,2683.0,0.0,196.0,57.0
hsa-miR-200b-3p,31540.0,1.0,1305.0,237.0
hsa-miR-200b-5p,488.0,0.0,38.0,14.0
hsa-miR-200c-3p,28133.0,0.0,1149.0,76.0
hsa-miR-203a-3p,2936.0,1.0,256.0,103.0
hsa-miR-203b-3p,12.0,0.0,0.0,0.0
hsa-miR-204-3p,229.0,0.0,0.0,47.0
hsa-miR-204-5p,10530.0,1.0,546.0,65.0
hsa-miR-205-5p,265.0,0.0,13.0,7.0
hsa-miR-206,66.0,0.0,0.0,439.0
hsa-miR-208b-3p,0.0,0.0,0.0,1.0
hsa-miR-20a-3p,2.0,0.0,0.0,0.0
hsa-miR-20a-5p,1088.0,11.0,48.0,201.0
hsa-miR-20b-3p,6.0,0.0,0.0,0.0
hsa-miR-20b-5p,210.0,0.0,0.0,1.0
hsa-miR-21-3p,45.0,0.0,0.0,35.0
hsa-miR-21-5p,38976.0,344.0,3017.0,11561.0
hsa-miR-210-3p,18.0,0.0,0.0,2.0
hsa-miR-210-5p,6.0,0.0,0.0,0.0
hsa-miR-211-5p,7.0,0.0,0.0,0.0
hsa-miR-2110,36.0,0.0,5.0,0.0
hsa-miR-2115-3p,2.0,0.0,0.0,0.0
hsa-miR-2115-5p,3.0,0.0,0.0,0.0
hsa-miR-2116-3p,1.0,0.0,0.0,0.0
hsa-miR-214-3p,1.0,0.0,0.0,0.0
hsa-miR-215-5p,74.0,1.0,0.0,0.0
hsa-miR-216a-3p,7.0,0.0,2.0,0.0
hsa-miR-216a-5p,9.0,1.0,0.0,0.0
