miRNA,SRR11110034,SRR11110035
hsa-let-7a-2-3p,54.0,64.0
hsa-let-7a-3p,101.0,129.0
hsa-let-7a-5p,15131.0,7776.0
hsa-let-7b-3p,27.0,32.0
hsa-let-7b-5p,14204.0,8665.0
hsa-let-7c-3p,3.0,7.0
hsa-let-7c-5p,3533.0,1393.0
hsa-let-7d-3p,359.0,276.0
hsa-let-7d-5p,742.0,555.0
hsa-let-7e-3p,32.0,55.0
hsa-let-7e-5p,1338.0,899.0
hsa-let-7f-1-3p,3.0,25.0
hsa-let-7f-2-3p,4.0,0.0
hsa-let-7f-5p,8758.0,4897.0
hsa-let-7g-3p,5.0,16.0
hsa-let-7g-5p,4340.0,2630.0
hsa-let-7i-3p,87.0,134.0
hsa-let-7i-5p,49221.0,38407.0
hsa-miR-100-3p,96.0,106.0
hsa-miR-100-5p,48153.0,75443.0
hsa-miR-101-3p,806.0,353.0
hsa-miR-101-5p,5.0,3.0
hsa-miR-10394-3p,3.0,1.0
hsa-miR-10395-3p,27.0,3.0
hsa-miR-10395-5p,1.0,1.0
hsa-miR-10396a-3p,14.0,22.0
hsa-miR-10396a-5p,16.0,10.0
hsa-miR-10396b-3p,37.0,64.0
hsa-miR-10396b-5p,3.0,26.0
hsa-miR-10399-3p,2.0,2.0
hsa-miR-103a-1-5p,0.0,1.0
hsa-miR-103a-2-5p,5.0,2.0
hsa-miR-103a-3p,3086.0,142.0
hsa-miR-10401-3p,261.0,36.0
hsa-miR-10401-5p,3.0,4.0
hsa-miR-10526-3p,8.0,1.0
hsa-miR-10527-5p,0.0,1.0
hsa-miR-106a-5p,3.0,0.0
hsa-miR-106b-3p,580.0,454.0
hsa-miR-106b-5p,295.0,230.0
hsa-miR-107,134.0,256.0
hsa-miR-10a-3p,34.0,26.0
hsa-miR-10a-5p,28837.0,14995.0
hsa-miR-10b-5p,161.0,59.0
hsa-miR-1179,1.0,0.0
hsa-miR-1180-3p,109.0,72.0
hsa-miR-1180-5p,4.0,2.0
hsa-miR-1185-1-3p,99.0,97.0
hsa-miR-1185-2-3p,64.0,58.0
hsa-miR-1185-5p,35.0,36.0
hsa-miR-1193,0.0,1.0
hsa-miR-1197,41.0,27.0
hsa-miR-12129,0.0,1.0
hsa-miR-12136,533.0,329.0
hsa-miR-122-5p,0.0,1.0
hsa-miR-1226-3p,0.0,2.0
hsa-miR-1226-5p,0.0,1.0
hsa-miR-1228-3p,1.0,0.0
hsa-miR-1228-5p,0.0,1.0
hsa-miR-1229-3p,1.0,2.0
hsa-miR-1233-3p,1.0,0.0
hsa-miR-1234-3p,2.0,0.0
hsa-miR-1245a,3.0,6.0
hsa-miR-1245b-5p,4.0,0.0
hsa-miR-1246,427.0,37.0
hsa-miR-1248,41.0,17.0
hsa-miR-1249-3p,10.0,2.0
hsa-miR-1252-5p,0.0,1.0
hsa-miR-1255a,11.0,13.0
hsa-miR-1255b-5p,1.0,3.0
hsa-miR-1256,1.0,0.0
hsa-miR-125a-3p,72.0,62.0
hsa-miR-125a-5p,5384.0,2997.0
hsa-miR-125b-1-3p,2551.0,3332.0
hsa-miR-125b-2-3p,8.0,15.0
hsa-miR-125b-5p,6047.0,5436.0
hsa-miR-126-3p,183.0,204.0
hsa-miR-126-5p,3154.0,2396.0
hsa-miR-1260a,1.0,1.0
hsa-miR-1260b,60.0,215.0
hsa-miR-1262,24.0,18.0
hsa-miR-1266-5p,1.0,0.0
hsa-miR-1268a,1.0,26.0
hsa-miR-1268b,27.0,5.0
hsa-miR-1269a,5.0,4.0
hsa-miR-127-3p,40565.0,39211.0
hsa-miR-127-5p,98.0,123.0
hsa-miR-1270,13.0,3.0
hsa-miR-1271-3p,2.0,7.0
hsa-miR-1271-5p,44.0,91.0
hsa-miR-1273h-5p,2.0,6.0
hsa-miR-1275,20.0,21.0
hsa-miR-1276,3.0,7.0
hsa-miR-1277-3p,0.0,3.0
hsa-miR-1278,4.0,2.0
hsa-miR-128-1-5p,23.0,14.0
hsa-miR-128-3p,1110.0,430.0
hsa-miR-1285-3p,198.0,111.0
hsa-miR-1285-5p,61.0,77.0
hsa-miR-1286,0.0,1.0
hsa-miR-1287-5p,29.0,47.0
hsa-miR-129-2-3p,5.0,0.0
hsa-miR-129-5p,4.0,6.0
hsa-miR-1291,17.0,33.0
hsa-miR-1292-3p,3.0,3.0
hsa-miR-1292-5p,1.0,1.0
hsa-miR-1293,5.0,8.0
hsa-miR-1294,4.0,2.0
hsa-miR-1296-5p,121.0,153.0
hsa-miR-1298-3p,1.0,0.0
hsa-miR-1298-5p,3.0,0.0
hsa-miR-1299,3.0,3.0
hsa-miR-1301-3p,45.0,56.0
hsa-miR-1303,8.0,7.0
hsa-miR-1304-3p,0.0,1.0
hsa-miR-1304-5p,8.0,12.0
hsa-miR-1306-3p,1.0,4.0
hsa-miR-1306-5p,4.0,1.0
hsa-miR-1307-3p,263.0,272.0
hsa-miR-1307-5p,1328.0,951.0
hsa-miR-130a-3p,3021.0,2586.0
hsa-miR-130a-5p,22.0,37.0
hsa-miR-130b-3p,1199.0,837.0
hsa-miR-130b-5p,95.0,98.0
